key,screen,english,translation,review,verified,status
orgSettingsReminderApprovalSubtitle,Admin Branding,"When enabled, members who can broadcast reminders but cannot approve them must submit reminders for review before they are published.","Kung nakabukas, ang mga miyembro nga makapadala og mga pahimangno apan dili makapapprove niini kinahanglan mag-submit og mga pahimangno alang sa pagrepaso sa dili pa kini ipagawas.",,,approved
orgSettingsReminderApprovalTitle,Admin Branding,Reminder Approval,Pahimangno sa Pag-apruba,,,approved
orgSettingsReportCategoriesSubtitle,Admin Branding,Categories are required for users to submit concerns. Tap the button below to populate the default set.,Kinahanglan ang mga kategorya aron makasumite ang mga tiggamit og mga kabalaka. I-tap ang buton sa ubos aron mapuno ang default nga set.,,,approved
orgSettingsReportCategoriesTitle,Admin Branding,Report Categories,Mga Kategorya sa Ulat,,,approved
orgSettingsRequireApproval,Admin Branding,Require approval before publishing,Kinahanglan ang pag-apruba sa dili pa ipagawas,,,approved
orgSettingsRequired,Admin Branding,Required,Kinahanglanon,,,approved
orgSettingsSaveAnyway,Admin Branding,Save Anyway,I-save gihapon,,,approved
orgSettingsSaveBranding,Admin Branding,Save Branding,I-save ang Branding,,,approved
orgSettingsSaveFailed,Admin Branding,Save failed: {error},Nakapakyas sa pag-save: {error},,,approved
orgSettingsSaveType,Admin Branding,Save type,I-save ang tipo,,,approved
orgSettingsSaving,Admin Branding,Saving…,Nag-save…,,,approved
orgSettingsSecondaryColor,Admin Branding,Secondary Color,Ikaduhang Kulay,,,approved
orgSettingsSecondaryColorHint,Admin Branding,e.g. #000000,pananglitan: #000000,,,approved
orgSettingsSecondaryHexInvalid,Admin Branding,Secondary color must be a valid 6-digit hex (e.g. #000000).,Ang ikaduhang kolor kinahanglan usa ka balido nga 6-digit nga hex (sama sa #000000).,,,approved
orgSettingsSecondarySwatch,Admin Branding,Secondary,Ikaduhang,,,approved
orgSettingsSeedCategoriesFailed,Admin Branding,Seed failed: {error},Nabigo ang pag-seed: {error},,,approved
orgSettingsSeedCategoriesSuccess,Admin Branding,Default categories added successfully,Madalas nga mga kategorya nga nadugang nga malampuson,,,approved
orgSettingsTitle,Admin Branding,Organization Settings,Mga Setting sa Organisasyon,,,approved
orgSettingsTypeLabel,Admin Branding,Type,Tipo,,,approved
orgTypeAdminChurch,Organization,Church,Simbahan,,,approved
orgTypeAdminChurchDesc,Organization,For churches and faith-based communities.,Para sa mga simbahan ug mga komunidad nga nakabase sa pagtuo.,,,approved
orgTypeAdminCorporation,Organization,Corporation,Korporasyon,,,approved
orgTypeAdminCorporationDesc,Organization,For companies and workplace communities.,Para sa mga kumpanya ug mga komunidad sa trabaho.,,,approved
orgTypeAdminLgu,Organization,Municipality / LGU,Munisipyo / LGU,,,approved
orgTypeAdminLguDesc,Organization,"For municipalities, barangays, and local government units.","Para sa mga munisipyo, barangay, ug mga yunit sa lokal nga gobyerno.",,,approved
orgTypeAdminNgo,Organization,NGO,NGO,,,approved
orgTypeAdminNgoDesc,Organization,For non-profit and community organizations.,Para sa mga non-profit ug mga organisasyon sa komunidad.,,,approved
orgTypeAdminOther,Organization,Other,Uban pa,,,approved
orgTypeAdminOtherDesc,Organization,Generic organization without type-specific features.,Heneral nga organisasyon nga walay mga bahin nga espesipiko sa tipo.,,,approved
orgTypeAdminSchool,Organization,School,Eskwela,,,approved
orgTypeAdminSchoolDesc,Organization,"Enables student grades, roster, and class-based features.","Nag-enable sa mga grado sa estudyante, roster, ug mga feature nga nakabase sa klase.",,,approved
orgTypeAdminUniversity,Organization,University,Unibersidad,,,approved
orgTypeAdminUniversityDesc,Organization,"Enables student grades, roster, and class-based features.","Nag-enable sa mga grado sa estudyante, roster, ug mga feature nga nakabase sa klase.",,,approved
orgTypeWordChurch,Shared (org types),church,simbahan,,,approved
orgTypeWordCorporation,Shared (org types),workplace,opisina,,,approved
orgTypeWordLgu,Shared (org types),community,komunidad,,,approved
orgTypeWordNgo,Shared (org types),organization,organisasyon,,,approved
orgTypeWordOther,Shared (org types),organization,organisasyon,,,approved
orgTypeWordSchool,Shared (org types),school,eskwelahan,,,approved
orgTypeWordUniversity,Shared (org types),university,unibersidad,,,approved
pendingApprovalsAnnouncements,Reminder Approval Queue,Announcements,Mga Anunsyo,,,approved
pendingApprovalsEmpty,Reminder Approval Queue,Nothing awaiting approval,Walay bisan unsang naghulat nga pag-apruba,,,approved
pendingApprovalsGroupAlerts,Reminder Approval Queue,Group alerts,Mga pahibalo sa grupo,,,approved
pendingApprovalsLoadFailed,Reminder Approval Queue,Failed to load: {error},Nakapakyas sa pag-load: {error},,,approved
pendingApprovalsNoPermission,Reminder Approval Queue,You don't have permission to approve content.,Wala kay permiso aron maaprobahan ang sulod.,,,approved
pendingApprovalsRejectAnnouncement,Reminder Approval Queue,Reject announcement,Ibalibad ang anunsyo,,,approved
pendingApprovalsRejectReasonHint,Reminder Approval Queue,Let the author know why…,Ipahibalo ang awtor kung nganong…,,,approved
pendingApprovalsRejectReminder,Reminder Approval Queue,Reject reminder,Pagdumili nga pahimangno,,,approved
pendingApprovalsSchoolWide,Reminder Approval Queue,School-wide,Tibuok eskwelahan,,,approved
permissionApproveApplications,Shared,Approve join applications,Aprobahi ang mga aplikasyon sa pag-apil,,,approved
permissionApproveReminders,Shared,Approve / reject reminders,Aprobahi / i-reject ang mga pahimangno,,,approved
permissionApproveReport,Shared,Approve / close reports,Aprobahi / isira ang mga report,,,approved
permissionBlockUsers,Shared,Suspend or block users,I-suspend o i-block ang mga gumagamit,,,approved
permissionBroadcastReminders,Permissions Broadcast,Broadcast reminders,Ipadala ang mga pahimangno,,,approved
permissionGroupAdministration,Permissions Group,Administration,Administrasyon,,,approved
permissionGroupBulletins,Permissions Group,Bulletins & News,Mga Bulletin ug Balita,,,approved
permissionGroupReminders,Permissions Group,Reminders,Mga pahimangno,,,approved
permissionGroupReports,Permissions Group,Reports,Mga report,,,approved
permissionGroupRosterUsers,Permissions Group,Roster & Users,Lista ug mga Gumagamit,,,approved
permissionManageClassRoster,Shared,Manage class roster (school only),Pagdumala sa listahan sa klase (eskwelahan ra),,,approved
permissionManageGroupRoster,Shared,Manage own group roster,Pagdumala sa kaugalingong grupo nga listahan,,,approved
permissionManageOrganizationSettings,Shared,Manage org settings & branding,Pagdumala sa mga setting sa organisasyon ug branding,,,approved
permissionManageReports,Shared,"Update status, escalate & add notes","I-update ang estado, i-escalate & magdugang og mga nota",,,approved
permissionManageRoles,Shared,Manage roles & assign permissions,Pagdumala sa mga papel ug pag-assign sa mga permiso,,,approved
permissionManageTranslations,Shared,Translation moderator (edit UI strings),Moderator sa hubad (edit UI strings),,,approved
permissionPostBulletinOrgWide,Shared,Post bulletins org-wide,Mag-post og mga bulletin sa tibuok organisasyon,,,approved
permissionPostBulletinToGroup,Shared,Post bulletins to own groups,Mag-post og mga bulletin sa kaugalingong grupo,,,approved
permissionViewAllReports,Shared,View all org reports,Tan-awa ang tanan nga report sa org,,,approved
permissionViewAuditLogs,Shared,View audit logs,Tan-awa ang mga audit log,,,approved
permissionViewGroupReports,Shared,View reports in assigned groups,Tan-awa ang mga report sa gihatag nga mga grupo,,,approved
reminderComposeAddOption,Reminders — Response Config Section,Add option,Magdugang og kapilian,,,approved
reminderComposeAllowChangingResponses,Reminders — Response Config Section,Allow changing responses,Tugoti ang pag-usab sa mga tubag,,,approved
reminderComposeAllowChangingResponsesOff,Reminders — Response Config Section,Locked after submit — use for votes and one-time polls,Nakasalalay pagkahuman sa pag-submit — gamita alang sa mga boto ug usa ka higayon nga mga poll,,,approved
reminderComposeAllowChangingResponsesOn,Reminders — Response Config Section,Recipients can update their answer after submitting,Makahimo ang mga nakadawat sa pag-update sa ilang tubag human sa pag-submit,,,approved
reminderComposeAllowExplanationHint,Reminders — Response Config Section,Optional text box for comments (e.g. why they cannot attend),"Opsyonal nga kahon sa teksto para sa mga komento (pananglitan, nganong dili sila makaapil)",,,approved
reminderComposeAllowExplanationText,Reminders — Response Config Section,Allow explanation text,Tugoti ang teksto sa pasabot,,,approved
reminderComposeAnswerChoices,Reminders — Response Config Section,Answer choices,Mga kapilian sa tubag,,,approved
reminderComposeApprovalBanner,Compose Reminder,Your organization requires reminders to be approved. This will be submitted for review before it is published.,Gikinahanglan sa imong organisasyon nga maaprobahan ang mga pahimangno. Kini isumite alang sa pagrepaso sa dili pa kini ipagawas.,,,approved
reminderComposeAudienceEveryone,Compose Reminder,Everyone,Tanan,,,approved
reminderComposeAudienceGroup,Compose Reminder,Group,Grupo,,,approved
reminderComposeAudienceLabel,Compose Reminder,Audience,Mga Taga-paminaw,,,approved
reminderComposeAudienceRole,Compose Reminder,Role,Roly,,,approved
reminderComposeChangeTime,App,Change time,Usba ang oras,,,approved
reminderComposeCharacterLimit,Reminders — Response Config Section,Character limit,Limit sa karakter,,,approved
reminderComposeCharactersCount,Reminders — Response Config Section,{count} characters,{count} mga karakter,,,approved
reminderComposeCheckboxOptions,Reminders — Response Config Section,Checkbox options,Mga opsyon sa checkbox,,,approved
reminderComposeDurationHours,Reminders — Expiration Picker Section,{count} hr,{count} ka oras,,,approved
reminderComposeDurationMinutes,Reminders — Expiration Picker Section,{count} min,{count} min,,,approved
reminderComposeDurationZeroMin,Reminders — Expiration Picker Section,0 min,0 ka minuto,,,approved
reminderComposeExpirationAfterSend,Reminders — Expiration Picker Section,Expiration must be after the send time.,Ang pag-expire kinahanglan nga human sa oras sa pagpadala.,,,approved
reminderComposeExpirationAt,Reminders — Expiration Picker Section,Expires {dateTime},Mawad-an og bisa {dateTime},,,approved
reminderComposeExpirationBaseScheduled,Reminders — Expiration Picker Section,scheduled send,naka-iskedyul nga pagpadala,,,approved
reminderComposeExpirationBaseSend,Reminders — Expiration Picker Section,send,ipadala,,,approved
reminderComposeExpirationDateTime,Reminders — Expiration Picker Section,Date & time,Petsa ug oras,,,approved
reminderComposeExpirationDuration,Reminders — Expiration Picker Section,Duration,Gidugayon,,,approved
reminderComposeExpirationDurationSummary,Reminders — Expiration Picker Section,{duration} after {base} ({dateTime}),{duration} human sa {base} ({dateTime}),,,approved
reminderComposeExpirationOff,Reminders — Expiration Picker Section,Off — stays until manually deleted,Wala — magpabilin hangtod nga manu-manong tanggalon,,,approved
reminderComposeExpireAfter,Reminders — Expiration Picker Section,Expire after,Mawagtang human sa,,,approved
reminderComposeGroupOnlyHint,Compose Reminder,This alert will be sent only to members of the group you select.,Ang alerto nga kini ipapadala lamang sa mga miyembro sa grupo nga imong gipili.,,,approved
reminderComposeHours,Reminders — Expiration Picker Section,Hours,Mga Oras,,,approved
reminderComposeLoadGroupsFailed,Compose Reminder,Could not load groups: {error},Dili ma-load ang mga grupo: {error},,,approved
reminderComposeLoadRolesFailed,Compose Reminder,Could not load roles: {error},Dili ma-load ang mga papel: {error},,,approved
reminderComposeMessageHint,Compose Reminder,Write the reminder details…,Isulat ang mga detalye sa pahimangno…,,,approved
reminderComposeMessageLabel,Compose Reminder,Message,Mensahe,,,approved
reminderComposeMinutes,Reminders — Expiration Picker Section,Minutes,Minuto,,,approved
reminderComposeNoGroupsYet,Compose Reminder,No groups exist yet. Create a group first.,Wala pa'y mga grupo. Maghimo usa og grupo.,,,approved
reminderComposeNoPermission,Compose Reminder,You don't have permission to broadcast reminders.,Wala kay permiso sa pag-broadcast sa mga pahimangno.,,,approved
reminderComposeNoRolesYet,Compose Reminder,No roles defined yet.,Walay mga papel nga gihimo pa.,,,approved
reminderComposeOptionNumber,Reminders — Response Config Section,Option {number},Opsyon {number},,,approved
reminderComposePickDateTime,Reminders — Expiration Picker Section,Pick date & time,Pili-a ang petsa ug oras,,,approved
reminderComposePublished,Compose Reminder,Reminder published.,Nakapublish nga pahimangno.,,,approved
reminderComposeRemoveOption,Reminders — Response Config Section,Remove option,Kuhaa ang opsyon,,,approved
reminderComposeRequestResponse,Reminders — Response Config Section,Request a response,Mangayo og tubag,,,approved
reminderComposeResponseCheckboxes,Reminders (shared) / Reminders — Response Config Section,Checkboxes,Mga checkbox,,,approved
reminderComposeResponseChoices,Reminders (shared) / Reminders — Response Config Section,Choices,Mga Kapilian,,,approved
reminderComposeResponseFreeText,Reminders (shared) / Reminders — Response Config Section,Free text,Libre nga teksto,,,approved
reminderComposeResponseOff,Reminders — Response Config Section,Off — no response requested,Walay tubag — wala’y gikinahanglan nga tubag,,,approved
reminderComposeResponseRecipientsCan,Reminders — Response Config Section,Recipients can respond via {type},Maka-reply ang mga recipient pinaagi sa {type},,,approved
reminderComposeResponseRequired,Reminders — Response Config Section,Response required,Kinahanglan ang tubag,,,approved
reminderComposeResponseRequiredHint,Reminders — Response Config Section,Recipients must respond before they can dismiss the alert,Kinahanglan nga motubag ang mga nakadawat sa wala pa nila ma-dismiss ang alerto.,,,approved
reminderComposeResponseTypeExplanationSuffix,Reminders Compose,+ explanation,+ pasabot,,,approved
reminderComposeScheduled,Compose Reminder,Reminder scheduled.,Naka-iskedyul ang pahimangno.,,,approved
reminderComposeScheduleForLater,App,Schedule for later,I-iskedyul para sa ulahi,,,approved
reminderComposeScheduleOff,App,Off — send immediately,Walay — ipadala dayon,,,approved
reminderComposeSelectGroup,Compose Reminder,Select group,Pili-a ang grupo,,,approved
reminderComposeSelectRole,Compose Reminder,Select role,Pili-a ang papel,,,approved
reminderComposeSendFailed,Compose Reminder,Failed to send: {error},Nakapakyas sa pagpadala: {error},,,approved
reminderComposeSendGroupAlertTitle,Compose Reminder,Send Group Alert,Ipadala ang Grupo nga Alerto,,,approved
reminderComposeSendReminder,Compose Reminder,Send Reminder,Magpadala og Paalaala,,,approved
reminderComposeSetExpiration,Reminders — Expiration Picker Section,Set expiration,I-set ang pagkaputol,,,approved
reminderComposeSetExpirationBelow,Reminders — Expiration Picker Section,Set expiration below,I-set ang pag-expire sa ubos,,,approved
reminderComposeSubmitForApproval,Compose Announcement / Compose Reminder,Submit for Approval,Ipadala para sa Pag-apruba,,,approved
reminderComposeSubmittedForApproval,Compose Reminder,Reminder submitted for approval.,Gihangyo ang pahimangno alang sa pag-aprubar.,,,approved
reminderComposeTitle,Compose Reminder,Compose Reminder,Paghimo og Paalaala,,,approved
reminderComposeTitleHint,Compose Reminder,e.g. Early dismissal Friday,Pananglitan: Sayong pagbiya sa Biyernes,,,approved
reminderComposeTitleLabel,Compose Reminder,Title,Titulo,,,approved
reminderComposeValidationCharLimit,Reminders Compose,Set a valid character limit for responses.,Mag-set og balido nga limitasyon sa karakter para sa mga tubag.,,,approved
reminderComposeValidationCharLimitRange,Reminders — Response Config Section,Set a character limit between {min} and {max}.,I-set ang limit sa karakter tali sa {min} ug {max}.,,,approved
reminderComposeValidationCheckboxOptions,Reminders (shared) / Reminders — Response Config Section,Add at least one checkbox option with a label.,Magdugang ug labing menos usa ka checkbox nga kapilian nga adunay label.,,,approved
reminderComposeValidationChoiceOptions,Reminders (shared) / Reminders — Response Config Section,Add at least 2 answer choices with labels.,Magdugang ug labing menos 2 ka mga kapilian sa tubag nga adunay mga label.,,,approved
reminderComposeValidationExpiration,Reminders Compose,Set a valid expiration date and time.,Mag-set ug balido nga petsa ug oras sa pag-expire.,,,approved
reminderComposeValidationMessageMin,Reminders Compose,Message must be at least 5 characters.,Ang mensahe kinahanglan nga labing menos 5 ka karakter.,,,approved
reminderComposeValidationSelectAudience,Reminders Compose,Select an audience for this reminder.,Pili-a ang audience para sa kini nga pahimangno.,,,approved
reminderComposeValidationSelectGroup,Reminders Compose,Select a group for this alert.,Pili-a ang grupo para sa kini nga pahimangno.,,,approved
reminderComposeValidationTitleMin,Reminders Compose,Title must be at least 3 characters.,Ang titulo kinahanglan nga labing menos 3 ka karakter.,,,approved
reportCategoryAcademic,Reports (shared),Academic Concern,Sangputanan sa Akademiko,,,approved
reportCategoryAdministrative,Reports (shared),Administrative,Administratibo,,,approved
reportCategoryBullying,Reports (shared),Bullying & Harassment,Pangharas ug Pagpangdaut,,,approved
reportCategoryConduct,Reports (shared),Staff / Teacher Conduct,Pamatasan sa Kawani / Magtutudlo,,,approved
reportCategoryFacility,Reports (shared),Facility & Infrastructure,Pasilidad ug Inprastruktura,,,approved
reportCategoryOther,Reports (shared),Other,Uban pa,,,approved
reportCategorySafety,Reports (shared),Safety & Security,Kaluwasan ug Seguridad,,,approved
reportCategorySanitation,Reports (shared),Sanitation & Cleanliness,Kahimsog ug Kalimpyo,,,approved
reportDetailsLoadFailed,Reports — Details,Failed to load report,Nakapakyas sa pag-load sa report,,,approved
reportDetailsLoading,Reports — Details,Loading report...,Nag-load sa report...,,,approved
reportDetailsTitle,Reports — Details,Report Details,Detalye sa Report,,,approved
roleAssignmentsNoRoles,User Assignments,No roles assigned,Walay gihatag nga mga papel,,,approved
roleAssignmentsNoUsers,User Assignments,No approved users found.,Walay nakaprobahan nga mga tiggamit nga nakit-an.,,,approved
roleAssignmentsTitle,User Assignments,User Role Assignments,Mga Talaan sa Papel sa Gumagamit,,,approved
roleEditorAssignUsers,Role Editor,Assign Users,I-assign ang mga Gumagamit,,,approved
roleEditorBasedOn,Role Editor,Based on: {permission},Nakasalig sa: {permission},,,approved
roleEditorCapabilities,Role Editor,Capabilities,Mga Kakayahan,,,approved
roleEditorCapabilitiesHint,Role Editor,Select the built-in capabilities this role grants.,Pilia ang mga nakabuilt-in nga kakayahan nga gihatag sa kini nga papel.,,,approved
roleEditorCreateCustomCap,Role Editor,Create a custom capability →,Magmahi og custom nga kakayahan,,,approved
roleEditorCreateTitle,Role Editor,Create Role,Magtukod og Papel,,,approved
roleEditorCustomCapabilities,Role Editor,Custom Capabilities,Mga Pasikaran nga Kahanas,,,approved
roleEditorCustomCapabilitiesHint,Role Editor,Org-defined capability aliases built on top of built-ins.,Mga alias sa kakayahan nga gihimo sa org nga gibase sa mga nakabuilt-in.,,,approved
roleEditorDescription,Role Editor,Description,Paglaraw,,,approved
roleEditorDescriptionHint,Role Editor,Briefly describe who this role is for,Ilaraw ang hinungdan kung kinsa kini nga papel.,,,approved
roleEditorEditTitle,Role Editor,Edit Role,Usba ang Papel,,,approved
roleEditorManageCustom,Role Editor,Manage Custom,Pagdumala sa Custom,,,approved
roleEditorNameHint,Role Editor,e.g. Guidance Counselor,e.g. Tagapayo sa mga Estudyante,,,approved
roleEditorNoCustomCaps,Role Editor,No custom capabilities yet.,Wala pang mga pasadya nga kakayahan.,,,approved
roleEditorRoleDetails,Role Editor,Role Details,Mga Detalye sa Papel,,,approved
roleEditorRoleName,Role Editor,Role Name,Ngalan sa Papel,,,approved
roleEditorSaved,Role Editor,Role saved,Nakatipig na ang papel,,,approved
roleEditorSaveFailed,Role Editor,Save failed: {error},Nakapakyas ang pag-save: {error},,,approved
roleEditorSaveRole,Role Editor,Save Role,I-save ang Papel,,,approved
roleEditorSaving,Role Editor,Saving…,Nag-save…,,,approved
rolesAllCapabilitiesTitle,Roles Management,{roleName} — All Capabilities,{roleName} — Tanang Kakayahan,,,approved
rolesAssignments,Roles Management,Assignments,Mga Takdang Aralin,,,approved
rolesAssignUsers,Roles Management,Assign Users,I-assign ang mga Gumagamit,,,approved
rolesCapabilities,Roles Management,Capabilities,Mga Kahanas,,,approved
rolesCreateManually,Roles Management,Create Role Manually,Manually nga Paghimo og Papel,,,approved
rolesCreateRole,Roles Management,Create Role,Magtukod og Papel,,,approved
rolesCustomRoles,Roles Management,Custom Roles,Mga Pasadya nga Papel,,,approved
rolesEdit,Roles Management,Edit,Usba,,,approved
rolesEmptyDescription,Roles Management,"Create your first custom role to grant staff
specific capabilities within this organisation.",Magmahi ang imong unang pasadya nga papel aron hatagan ang mga kawani og espesipikong mga kakayahan sulod niining organisasyon.,,,approved
rolesManagementTitle,Roles Management,Roles & Permissions,Mga Papel ug Mga Tugot,,,approved
rolesMoreCapabilities,Roles Management,+{count} more,+{count} pa,,,approved
rolesNoCapabilities,Roles Management,No capabilities assigned,Walay mga kakayahan nga gihatag,,,approved
rolesNoRolesEmpty,Roles Management,No roles defined yet,Walay mga papel nga gihimo pa,,,approved
rolesSeedDefaultRoles,Roles Management,Seed Default Roles,Itanum ang mga Default nga Papel,,,approved
rolesSeedFailed,Roles Management,Seed failed: {error},Nabigo ang seed: {error},,,approved
rolesSeeding,Roles Management,Seeding…,Nag-seed…,,,approved
rolesSeedSuccess,Roles Management,Default roles added successfully,Madalas nga mga papel nga nadugang nga malampuson,,,approved
rolesSystemBadge,Roles Management,System,Sistema,,,approved
rolesSystemRoles,Roles Management,System Roles,Mga Sistema nga Papel,,,approved
schoolGradesAddButton,School Grades Settings,Add grade,Idugang ang grado,,,approved
schoolGradesAddHint,School Grades Settings,e.g. 7,sama sa 7,,,approved
schoolGradesAddLabel,School Grades Settings,Add grade level,Idugang ang lebel sa grado,,,approved
schoolGradesCurrent,School Grades Settings,Current grades,Kasalukuyang mga grado,,,approved
schoolGradesEmpty,School Grades Settings,No grades configured yet.,Wala pa'y na-configure nga mga grado.,,,approved
schoolGradesGradeChip,Enrolled Users / Roster Management / School Grades Settings,Grade {level},Baitang {level},,,approved
schoolGradesIntro,School Grades Settings,Define which grade levels your school uses. These appear in Student Roster and Member Management filters.,I-define kung unsang mga grado ang gigamit sa imong eskwelahan. Magpakita kini sa Student Roster ug Member Management filters.,,,approved
schoolGradesInvalidNumber,School Grades Settings,Enter a valid grade number,Sulati ang usa ka balido nga numero sa grado,,,approved
schoolGradesLoadFailed,School Grades Settings,Failed to load settings: {error},Nakapakyas sa pag-load sa mga setting: {error},,,approved
schoolGradesNonSchoolNote,School Grades Settings,"Municipalities, barangays, and NGOs do not use grades.","Ang mga munisipyo, barangay, ug NGO dili mogamit og grado.",,,approved
schoolGradesNoPermission,School Grades Settings,You do not have permission to manage organization settings.,Wala kay permiso sa pagdumala sa mga setting sa organisasyon.,,,approved
schoolGradesNotSchool,School Grades Settings,Grade levels are only used by school-type organizations. This setting is not available for your organization type.,Ang mga grado nga lebel gigamit lamang sa mga organisasyon nga tipo sa eskwelahan. Kini nga setting dili magamit para sa imong tipo sa organisasyon.,,,approved
schoolGradesResetDefault,School Grades Settings,Reset to high school default (7–12),I-reset sa default sa high school (7–12),,,approved
schoolGradesSave,School Grades Settings,Save grades,I-save ang mga grado,,,approved
schoolGradesSaveDialogBody,School Grades Settings,Students will be filterable and assignable by:,Ang mga estudyante mahimong ma-filter ug ma-assign pinaagi sa:,,,approved
schoolGradesSaveDialogTitle,School Grades Settings,Save grade levels?,I-save ang mga grado nga lebel?,,,approved
schoolGradesSaveFailed,School Grades Settings,Save failed: {error},Nakapakyas sa pag-save: {error},,,approved
schoolGradesSaveSuccess,School Grades Settings,Grade levels updated,Na-update ang mga grado,,,approved
schoolGradesSaving,School Grades Settings,Saving…,Nag-save…,,,approved
settingsAboutApp,Settings,About {appName},Mahitungod sa {appName},,,approved
settingsAboutLegalese,Settings,© 2026 SpeakUp Connect,© 2026 SpeakUp Connect,,,approved
settingsAdminDashboard,Admin Dashboard / Settings,Admin Dashboard,Dashboard sa Admin,,,approved
settingsAdminDashboardSubtitle,Settings,Review and manage submitted reports,Susiha ug pagdumala ang mga gisumiter nga report,,,approved
settingsAdminGroups,Groups List / Settings,Groups & Clubs,Mga Grupo ug Klab,,,approved
settingsAdminGroupsSubtitle,Settings,Create groups and manage member rosters,Magtukod og mga grupo ug pagdumala sa mga listahan sa mga miyembro,,,approved
settingsAnonymous,Settings / Submit Report,Anonymous,Walay Ngalan,,,approved
settingsBrowseGroups,Browse Groups / My Groups / Settings,Browse Groups & Clubs,Tan-awa ang mga Grupo ug Klab,,,approved
settingsBrowseGroupsSubtitle,Settings,Discover clubs and request to join,Suhita ang mga grupo ug mag-request nga moapil,,,approved
settingsChangePassword,Change Password / Settings,Change Password,Usba Password,,,approved
settingsGroupsSubtitle,Settings,Clubs and organizations you belong to,Mga klub ug organisasyon nga imong gikauban,,,approved
settingsHelpCenter,Help Hub / Settings,Help Center,Sentro sa Tabang,,,approved
settingsHelpCenterSubtitle,Settings,Guides for members and administrators,Mga giya para sa mga miyembro ug mga administrador,,,approved
settingsJoinApplications,Settings,Join Applications,Apil sa mga Aplikasyon,,,approved
settingsJoinApplicationsSubtitle,Settings,Approve new member sign-ups,Aprobahi ang mga bag-ong pag-sign up sa mga miyembro,,,approved
settingsLanguage,App / Settings / Translation Workspace,Language,Wika,,,approved
settingsLanguageCebuano,Settings — Language,Bisaya / Cebuano,Bisaya / Cebuano,,,approved
settingsLanguageEnglish,Settings / Translation Workspace,English,Ingles,,,approved
settingsLanguageRevertToEnglish,App,That language could not be applied. Reverted to English.,Dili maaplikar ang maong sinultian. Gibalik sa Iningles.,,,approved
settingsMemberManagement,Enrolled Users / School Grades Settings / Settings,Member Management,Pagdumala sa mga Miyembro,,,approved
settingsMemberManagementSubtitle,Settings,"View, block, unenroll, unblock, or re-enroll members","Tan-awa, i-block, i-unenroll, i-unblock, o i-re-enroll ang mga miyembro",,,approved
settingsMemberSignInHint,Organization — Member Profile Account Section,Sign in with your student ID or contact email and your password.,Mag-sign in gamit ang imong student ID o contact email ug ang imong password.,,,approved
settingsMyBroadcasts,Settings,My Broadcasts,Ang Akong mga Broadcast,,,approved
settingsMyBroadcastsSubtitle,Settings,Manage sent reminders and view responses,Pagdumala sa gipadala nga mga pahimangno ug tan-awa ang mga tubag,,,approved
settingsMyGroups,Settings,My Groups & Clubs,Ang Akong mga Grupo ug Klab,,,approved
settingsNotificationPreferences,Settings,Notification Preferences,Mga Paborito sa Notipikasyon,,,approved
settingsNotificationsComingSoon,Settings,Notifications — coming soon,Mga pahibalo — umaabot na,,,approved
settingsOrgUnavailable,Settings,—,—,,,approved
settingsPendingApprovals,Reminder Approval Queue / Settings,Pending Approvals,Naghulat nga Pag-apruba,,,approved
settingsPendingApprovalsSubtitle,Settings,Review announcements and group alerts awaiting publish,Susiha ang mga anunsyo ug mga alerto sa grupo nga naghulat sa pagmantala,,,approved
settingsPendingMembershipRequests,Settings,"{count, plural, =1{1 pending membership request} other{{count} pending membership requests}}","{count, plural, =1{1 naghulat nga hangyo sa pagiging miyembro} other{{count} naghulat nga mga hangyo sa pagiging miyembro}}",,,approved
settingsPersonalPhotoRemoved,Settings,Personal photo removed — showing school photo,Nawala ang personal nga litrato — nagpakita sa litrato sa eskwelahan,,,approved
settingsPersonalPhotosDisabled,Settings,"Personal profile photos are not enabled. Ask an administrator to turn on ""Allow personal profile photos"" under Organization Settings.","Wala gi-enable ang mga personal nga profile photo. Pangutan-a ang usa ka administrador aron i-on ang ""Tugoti ang mga personal nga profile photo"" sa ilawom sa Mga Setting sa Organisasyon.",,,approved
settingsPersonalPhotoUpdated,Settings,Personal profile photo updated,Na-update ang personal nga profile nga litrato,,,approved
settingsPersonalUploadsRequireApproval,Settings,Tap your photo — personal uploads require admin approval,I-tap ang imong litrato — ang personal nga mga upload nagkinahanglan og pag-apruba sa admin,,,approved
settingsPhotoUpdateFailed,Settings,Could not update photo: {message},Dili ma-update ang litrato: {message},,,approved
settingsSchoolGrades,School Grades Settings / Settings,School Grades,Mga Baitang sa Eskwela,,,approved
settingsSchoolGradesSubtitle,Settings,Define which grade levels your school uses,I-define kung unsang mga lebel sa grado ang gigamit sa imong eskwelahan,,,approved
settingsSchoolPhotoOnFile,Settings,School photo on file — ask an admin to enable personal uploads,Naa'y litrato sa eskwelahan nga naka-file — pangutan-a ang admin aron ma-enable ang personal nga pag-upload,,,approved
settingsSectionAbout,Settings,About,Mahitungod,,,approved
settingsSectionAccount,Settings,Account,Akun,,,approved
settingsSectionAdmin,Settings,Administration,Administrasyon,,,approved
settingsSectionAppearance,Settings,Appearance,Hitsura,,,approved
settingsSectionGroups,Settings,Groups & Clubs,Mga Grupo ug Klab,,,approved
settingsSectionHelp,Settings,Help & Support,Tabang & Suporta,,,approved
